nombre_centro;municipio;lat;lon
VERMELLAR;L'Olleria;NA;NA
W.A. MOZART;Loriguilla;NA;NA
LA SERRANÍA;Losa del Obispo;NA;NA
EL CARMEN;Manises;39.4965986;-0.4653278
SAGRADA FAMILIA;Manises;39.494634;-0.4566958
BENJAMÍN BENLLOCH;Manises;39.494634;-0.4566958
ENRIC VALOR I VIVES;Manises;NA;NA
FÉLIX RODRÍGUEZ DE LA FUENTE;Manises;39.494634;-0.4566958
JOAN FUSTER;Manises;39.4902426;-0.4609453
JOSÉ GARCÍA PLANELLS;Manises;39.4979518;-0.467943
VICENTE NICOLAU BALAGUER;Manises;NA;NA
AUSIÀS MARCH;Manises;NA;NA
JOSÉ RODRIGO BOTET;Manises;39.494779;-0.4708199
PERE BOÏL;Manises;NA;NA
PINTOR ESTRUCH;Manuel;NA;NA
CASTILLO DEL REAL;Marines;39.7392122;-0.5306366
JOSÉ SENENT;Masarrochos;NA;NA
BLASCO IBÁÑEZ;Massalavés;NA;NA
SANT LLORENÇ MÀRTIR;Massalfassar;NA;NA
SAGRADA FAMILIA;Massamagrell;NA;NA
OBISPO AMIGÓ;Massamagrell;NA;NA
SAN JUAN EVANGELISTA;Massamagrell;NA;NA
VIRGEN DEL ROSARIO;Massamagrell;39.5717201;-0.3377429
Instituto de Educación Secundaria;Massamagrell;39.5746931;-0.3393294
SAN JOSÉ, SAN ANDRÉS Y SAN BENITO;Massanassa;NA;NA
NÚMERO 2;Massanassa;39.4141585;-0.4012466
LLUÍS VIVES;Massanassa;39.4141585;-0.4012466
Instituto de Educación Secundaria;Massanassa;NA;NA
SAGRADO CORAZÓN;Meliana;NA;NA
EL CRIST;Meliana;39.5281513;-0.3416188
MEDITERRANI;Meliana;NA;NA
LA GARRIGOSA;Meliana;39.5255684;-0.3467411
OLIVERETES;Miramar;38.9536016;-0.1465895
SAGRADO CORAZÓN;Mislata;NA;NA
SANTA CRUZ;Mislata;NA;NA
AMADEO TORTAJADA;Mislata;NA;NA
AUSIÀS MARCH;Mislata;39.4780981;-0.4147168
EL CID;Mislata;NA;NA
GREGORI MAYANS I CÍSCAR;Mislata;NA;NA
JAUME I;Mislata;NA;NA
L'ALMASSIL;Mislata;39.4752159;-0.4236068
MAESTRO SERRANO - MARÍA MOLINER;Mislata;NA;NA
LA MORERIA;Mislata;NA;NA
MOLÍ DEL SOL;Mislata;NA;NA
MÚSIC MARTÍN I SOLER;Mislata;39.4789359;-0.4196539
PADRE MORENO;Mogente/Moixent;NA;NA
Instituto de Educación Secundaria;Mogente/Moixent;38.8705995;-0.756465
CUMBRES SCHOOL;Moncada;NA;NA
SAN JAIME APÓSTOL;Moncada;NA;NA
SAN JOSÉ;Moncada;39.5451692;-0.3911839
SAN PABLO-CEU;Moncada;NA;NA
DOCTOR VICENTE TRENCO;Moncada;NA;NA
JOSÉ MARÍA OLTRA;Moncada;NA;NA
VICENTE BLASCO IBÁÑEZ;Moncada;NA;NA
ENRIQUE TIERNO GALVÁN;Moncada;NA;NA
DOCTOR ESPLUGUES;Montaverner;NA;NA
JULIO VERNE;Monte Vedat;NA;NA
MADRE PETRA;Monte Vedat;39.4170159;-0.4914466
PLEYADE;Monte Vedat;39.4210853;-0.4975347
SANTA TERESA DE JESÚS;Monte Vedat;39.4304676;-0.4794421
VICENT BLASCO IBÁÑEZ;Montesa;NA;NA
SERRA DEL BENICADELL;Montitxelvo/Montichelvo;NA;NA
MONTROI;Montroi/Montroy;NA;NA
EVARISTO CALATAYUD;Montserrat;NA;NA
ALCALANS;Montserrat;NA;NA
LA MASIA;Museros;NA;NA
VICENTE BLASCO IBÁÑEZ;Museros;NA;NA
EMILIO LLUCH;Náquera;39.6606924;-0.4292254
SAN JOSÉ DE CALASANZ;Navarrés;NA;NA
LA CANAL DE NAVARRÉS;Navarrés;39.1033532;-0.6988826
JAUME I;Novelé/Novetlè;38.9800154;-0.547852
EL REBOLLET;Oliva;NA;NA
SAN JOSÉ DE LA MONTAÑA;Oliva;NA;NA
ALFADALÍ;Oliva;NA;NA
HORT DE PALAU;Oliva;NA;NA
LA CARRASCA;Oliva;NA;NA
LLUÍS VIVES;Oliva;NA;NA
SANTA ANNA;Oliva;NA;NA
VERGE DELS DESEMPARATS;Oliva;NA;NA
GABRIEL CÍSCAR;Oliva;NA;NA
GREGORI MAIANS;Oliva;38.9231256;-0.1141697
ALT CARRAIXET;Olocau;40.6381983;-0.3400794
LA CONCEPCIÓN;Ontinyent;38.8274374;-0.605477
LA MILAGROSA;Ontinyent;NA;NA
PUREZA DE MARÍA;Ontinyent;NA;NA
SAN JOSÉ;Ontinyent;NA;NA
SANTA MARÍA;Ontinyent;38.8196831;-0.6097301
BONAVISTA;Ontinyent;NA;NA
LA SOLANA;Ontinyent;NA;NA
LLUÍS VIVES;Ontinyent;38.8182951;-0.6099067
MAESTRO CARMELO RIPOLL;Ontinyent;38.8198537;-0.6018428
MARTÍNEZ VALLS;Ontinyent;NA;NA
VICENTE GIRONÉS MORA;Ontinyent;NA;NA
JAUME I;Ontinyent;38.8244205;-0.6021215
L'ESTACIÓ;Ontinyent;NA;NA
POU CLAR;Ontinyent;NA;NA
CASTELL DE CARBONERA;Otos;NA;NA
LA INMACULADA;Paiporta;NA;NA
AUSIÀS MARCH;Paiporta;NA;NA
JAUME I;Paiporta;NA;NA
L'HORTA;Paiporta;NA;NA
